ID,ViolentCrimesPerPop
918,1622.5547483713178
1121,360.44916465671884
1277,1131.6106422525947
362,292.76199341295313
1485,238.69234710820234
100,1478.3959533790826
1210,629.3502097950484
555,677.9188923186828
1081,690.2884182247374
681,1049.4270288034825
608,799.1305625539187
317,330.2083504326463
591,575.7331443293256
1565,176.79190827722243
1287,1108.6887046323282
680,284.4180877110535
31,323.13717599498716
252,299.4488128582354
889,573.9524154443868
1335,103.27693757598837
1591,2614.1584372604325
545,1644.3043691239789
1544,756.8452951899714
136,870.2749254530963
30,247.6366287398555
602,374.81139335674743
1232,1229.4305565605766
1406,427.3569287406557
272,1151.4741773665135
995,791.8716553530425
355,816.9236807621585
70,708.0353214950457
1006,297.2368971284831
967,140.41750212975765
262,2373.0168464308395
1331,193.8000340997665
483,512.7933398142043
1435,325.1947108964652
1443,777.7182863179783
1360,521.4543303881939
299,207.27239072996622
24,144.71053257721508
1411,752.8423419104892
33,608.626623207977
1281,119.03792302817061
434,189.92926561987673
669,382.9384672647172
620,742.9068633072775
670,1014.2151267818607
352,1908.6556017217608
1522,630.5196254910525
899,1000.9865572895047
974,253.4291789663047
367,555.7542359998706
793,261.5206037799972
969,328.00873678904753
1062,873.974180082482
125,152.50594605810474
1499,615.1731190115877
343,230.79580855788797
66,1132.837297669995
60,1574.0925930964215
412,1704.0457578555038
632,408.4082970962086
1089,221.61324174278772
756,711.2734458047531
589,396.2058604741646
1288,2121.427585750284
354,174.6516896008303
416,352.21064556757915
1107,1757.6829050975484
905,144.14602688888783
1585,178.49593481959232
406,76.52200070536524
1126,1417.9112780599903
1240,898.1778866166194
1059,2251.153737367565
1392,152.56656675340386
375,477.16979458368894
1540,695.8998580884308
744,589.2072043386418
901,1230.7399569645052
814,597.4918466760179
1296,395.03756361099903
944,100.64848282480057
1422,3457.6890802369053
614,871.8860763703893
900,197.99005747705326
1269,953.942558908234
185,582.8112840771838
163,180.24831738299844
1330,209.0964207714649
50,202.57502023506385
706,271.9703952503454
804,529.0898024673949
221,567.6747112146438
332,621.6952560671823
1165,520.8537072523678
307,639.8667817742173
533,319.6174492471484
421,253.77040085537607
966,153.65079299581646
599,1679.4744718313905
811,856.4887494962062
882,874.4270991728072
1197,401.82587553934684
491,1706.55316254382
615,388.9605125051555
417,666.4214393993442
757,243.50553335269373
298,1235.0656179331456
110,520.4148123587554
1445,163.2393909312527
652,250.95010272643896
544,1075.7327535977183
169,199.78403993990372
353,552.90439955118
383,156.4626730228806
723,274.050892600833
1589,727.213787820411
52,762.5514269291024
71,167.98916106991643
874,1537.3829678409365
813,1260.9667740361285
77,193.06634270085166
204,86.51745038177049
535,206.9535058235102
384,543.550521802468
430,143.37894356833476
451,671.822089598787
1508,176.60228618847634
124,58.53695391970456
260,945.9045412111483
783,1234.7300089625558
381,271.6551237943728
866,131.420453026718
240,383.40643712854825
1266,761.7632075671431
612,237.55416604511316
68,697.1893012827544
423,810.7674325059425
142,929.5844492438122
766,1035.1478332394363
916,244.98304167319705
527,1018.9822211494555
975,422.80501105631697
186,1470.7353003915364
248,617.1252755423085
1134,543.867697951195
310,528.7354410997891
622,887.187777654803
1064,1012.4664308262663
1352,427.53259551319746
519,140.5253623399668
1375,567.0015837672615
382,193.62931142811595
428,1654.339020385151
271,233.42886209732848
1319,1435.2937186999916
1190,195.17071708306423
941,1022.3753958256025
325,443.6421644940579
713,299.3045362529588
174,1056.3876658395104
844,87.04187658619742
695,703.215093241939
1201,195.59496813239423
1101,492.9373619960733
786,178.40171278739967
528,1160.022172392981
1141,1368.7813808015576
553,238.31898828737772
860,322.79885453898845
290,306.0424275891328
301,96.34183894279623
171,338.354450472405
1085,319.3283574486999
1048,690.3404354562929
275,752.4859505954494
45,1461.9512763410382
1429,1261.9324098444424
276,230.11888089722243
1005,1492.7101720633432
1386,706.0098821934525
238,1518.4999122957522
839,433.72007461276587
241,1454.8164411783039
1528,435.1233799252843
1034,226.26252926069634
116,501.15939878848235
1519,89.06916159673871
1178,1022.0388616805367
1353,223.56569682256657
176,433.8278913157096
1024,968.8461804810047
947,215.64223000508426
372,299.0479130870504
833,878.3431525502796
79,513.7929116272497
333,403.4111390471229
1470,1013.2603421616592
715,969.8995225189853
439,379.08204410209527
368,1202.5921166094538
583,457.07407183065754
199,205.56923273389165
16,568.4535147587416
722,346.4939808612368
683,137.87720068242078
529,484.86906226432393
651,360.52161799939324
1056,574.9302751813792
1147,775.383853496792
340,207.248420533282
584,749.3245619461087
837,1381.3925697557256
592,134.90320815208986
486,516.6269437477038
480,1693.6728754703531
200,232.8793555241036
1119,401.2366485758568
1325,206.25123824252438
1146,1182.5611393257232
484,1180.6429418757932
469,363.5367815146122
304,823.5106410191064
794,378.8022099557862
507,202.70776397698378
1566,513.7743988111225
585,821.1846499364906
998,313.77692950517496
1080,448.4399331770836
245,2549.5301004096737
549,836.4341043398124
990,793.1377130349528
57,573.860080245013
74,239.24788400578277
902,184.39528073504195
1462,1179.1399280732232
694,151.17652620232334
562,743.4127658883835
44,411.6787992991377
101,240.11863380410938
433,243.44307299370257
1541,165.8077903875648
1084,100.56518455333546
102,960.5943227481553
1221,1194.067000559816
893,144.36740931904754
629,1358.8127439210248
108,441.43122589588893
1122,302.42143183973064
1263,400.512855342698
768,234.86106622637385
1111,139.0601093424573
579,167.75650726920674
1346,732.3585311349068
1376,960.4574152176855
707,1470.3933908092456
968,248.05768154376568
907,2387.146657032492
129,558.2629258133329
964,351.61183251536767
1166,244.1272203875979
765,1590.8694431637296
395,168.93393790786456
1448,222.1344594681366
1490,2051.355335069741
345,994.7385802068914
454,476.04050571797745
1088,554.8322235431476
1207,176.2811650119019
1299,351.59255785054586
1520,873.1899030889217
1228,185.85714284150004
1135,105.96254450110935
1054,627.4773176771819
1323,291.4038534997627
1363,87.61074045173245
991,1622.388846670044
232,1921.2054326993068
1362,430.6446293419861
1318,1489.7699762781488
164,133.6865837784049
1139,479.89611504054886
267,547.1563272778367
725,222.946180096593
1502,1147.3718649577377
1227,1002.4791683369829
1259,184.03267522219505
193,337.98445751719646
1365,282.9647715778757
64,265.7270415952996
1132,1459.2552324924902
1241,918.5830420351937
1339,189.04886355511755
1405,148.88098022186307
496,158.46842771404866
1385,1333.2986831703843
619,1130.130585817607
627,138.94823379426452
219,167.64324860239685
539,638.3540750451635
287,119.60863634854641
1284,1043.1120749117856
498,298.96393200445493
937,297.5265127938045
1173,279.4281566454028
1311,469.2547503239102
1174,210.72691403153954
482,212.50399741621894
1584,1806.4606933998843
951,290.2046844635792
1527,881.3216081832309
1308,367.15786915119355
702,409.19765824098954
1586,350.0885808463384
351,634.4647858676133
1129,442.94048915896553
